brain_region,gene_id,effect_size_8,p-value_8,power_8,t_stat_8,effect_size_16,p-value_16,power_16,t_stat_16,effect_size_32,p-value_32,power_32,t_stat_32,effect_size_64,p-value_64,power_64,t_stat_64,effect_size_128,p-value_128,power_128,t_stat_128,effect_size_256,p-value_256,power_256,t_stat_256,effect_size_512,p-value_512,power_512,t_stat_512,effect_size_1024,p-value_1024,power_1024,t_stat_1024
4030,36362,0.19761089453021985,0.513,0.12751720469215222,1.1404789518117133,0.03427799107453546,0.536,0.06503835742283848,0.2916784396182101,-0.04720099723210683,0.513,0.028317845465488656,-0.3976093358096308,-0.037924975012319055,0.489,0.02588647445200387,-0.49633359535392974,-0.07620738206491062,0.503,0.006166507144130473,-1.369007140203987,-0.04608167981562657,0.5,0.008651416072081086,-1.146391134473729,-0.09993779660237344,0.496,4.7463909509048996e-05,-3.44368224880602,-0.05912197535275165,0.498,0.00020349645887152157,-2.951052353180525
4031,1259,0.3511379956637717,0.556,0.22780267466899484,3.598965028604957,-0.05845266631562815,0.504,0.030852912507505215,-0.3711109759693119,-0.10524572833265582,0.488,0.012959354409925128,-0.8340083037003667,0.23861768680890022,0.529,0.5962017133603668,2.2077091287485624,0.08110414314198086,0.5,0.23203868738423417,1.1309946543310279,0.23729529095314228,0.503,0.9838940588220545,4.779609463255298,0.20677242594948417,0.492,0.9987677402444526,5.721237799524335,0.07671568335909129,0.492,0.7905768831473498,2.9357821002208766
4031,2538,-0.39312309041453297,0.479,0.003915619282283789,-2.0284227868497076,0.04141867417450883,0.49,0.06857313677208998,0.1847259239021204,0.10452468143359225,0.514,0.14312039243812114,0.6296999532116149,0.07237830371088518,0.499,0.14185377670139288,0.6064930327780261,0.05476624753314937,0.507,0.15184784936109796,0.6495137224050505,0.026257909993435434,0.484,0.1101293374208474,0.4429117190114466,0.017766681430099233,0.492,0.10686549639143517,0.42533080951041696,0.013567716515087707,0.489,0.11295274115278986,0.4552301723574486
4031,2541,0.7063908917750908,0.526,0.5620343396539812,2.466781613562182,0.28445496569359646,0.549,0.28834832889389295,1.101570236412336,0.16566352681298774,0.502,0.23327053542741338,0.9499732080736681,0.0889384536153667,0.494,0.17336020472606606,0.8281843813834319,0.29054064448594297,0.532,0.9478815918724005,3.7524920263566925,0.26672716929671103,0.516,0.9954916820709927,4.878762919647501,0.270581312060939,0.507,0.9999999995395703,7.064576345013241,0.2335342419783396,0.497,0.9999999999999608,8.585211626984885
4031,3338,-0.8133681206865674,0.36,8.738234757510455e-05,-15.429294972897733,-0.43174047606651267,0.488,0.00048673068497617766,-3.4179912629723956,-0.1958337690145154,0.461,0.0031765859485068937,-1.6051051565283343,-0.3211817576765208,0.461,1.4122072431677068e-05,-4.092040818291225,-0.29696721429798784,0.466,3.062461573222208e-07,-5.062222238976554,-0.25138974789495505,0.493,7.066037088776511e-09,-5.759990545709615,-0.3123933760645012,0.49,7.822631431508853e-13,-9.89889858650472,-0.29752884088817616,0.511,0.0,-12.931465134554136
4039,1259,0.169644299700102,0.541,0.11318260950296644,2.227294474299548,-0.3475890569872976,0.507,0.0014626563724540187,-1.8669365351255631,-0.40107788939373645,0.458,5.538698062201863e-05,-3.2335715688758913,0.08065264058678905,0.508,0.1570769960799625,0.6815100235112805,-0.0560441036173839,0.47,0.01143628807961572,-0.7564402738608423,0.18171786934775447,0.484,0.8952434912726819,3.3516887057310254,0.004172253508129144,0.514,0.06050223934341481,0.10795647777682961,0.035169179330451814,0.497,0.3014676725920623,1.3247242673095516
4039,2541,0.5372992019088131,0.527,0.3926449744662104,1.6889414045234599,0.1246082028147798,0.541,0.12128514187626516,0.47163380887043305,-0.02603117726299692,0.49,0.03681278356392337,-0.142616497892897,-0.02428696192805496,0.493,0.03309936356109633,-0.21278843799007688,0.19404464319760711,0.518,0.7049850058259436,2.4538380134105964,0.22016396535120653,0.515,0.9691469831564063,4.037424754852004,0.160596455949326,0.502,0.9763839401719766,4.169758039999386,0.18169529318439948,0.489,0.999999996954672,6.808990894149236
4045,1259,0.8442907458619053,0.632,0.6930329259082197,10.84272114091548,0.38783301367813283,0.523,0.43493680596788686,2.3827370954188187,0.1861179307894244,0.475,0.2692929509122014,1.4376010572746334,0.49089268513186896,0.552,0.9874422840136284,4.52226501239947,0.26624029722981146,0.523,0.9116851155270517,3.4526495389425027,0.2670088277819742,0.519,0.9955505931877521,4.9703899506697145,0.09573532761444198,0.508,0.6979524639657205,2.459944166500453,0.14954014565004603,0.48,0.9991473241503784,5.557954479884756
4045,2541,1.0293979832109252,0.523,0.8340826871487833,3.9069469142291555,0.5684371470950076,0.554,0.7000511646883338,2.069395560231492,0.45021465640702646,0.519,0.8011472295305208,2.460613890703535,0.3912219716354428,0.504,0.9266150391693796,3.315043505567204,0.5297062327365241,0.524,0.9999999989696076,6.330696703391448,0.3063642557524741,0.52,0.999410501934556,5.1143196473229136,0.11346004399284573,0.491,0.820966141099514,2.708541459369065,0.15683948008890725,0.486,0.9996250816036222,5.598099883398377
4048,1259,0.7482660271577539,0.565,0.6033456232671792,4.243713040920557,0.1924543831798718,0.502,0.18155953453543117,0.8543084044844459,0.08315426949967573,0.488,0.11807604058131382,0.5383535076318354,0.3888324399053224,0.536,0.9239465736042403,3.2304498842495173,0.3033722600747826,0.502,0.961556590561189,3.6685312167135455,0.3786658911219093,0.505,0.9999999993136747,6.68335756129416,0.19875228965376893,0.522,0.9977893967653989,4.8441126909937315,0.21888590846140404,0.492,0.9999999999987593,7.945069773280295
