brain_region,gene_id,effect_size,p-value,power,t_stat
4282,2541,0.2867000355206623,0.499,0.4766559821052291,1.4398072987547115
4282,3338,1.0405458785672956,0.536,0.9999999980243153,7.393543770036213
4288,1121,-0.12461290997865367,0.504,0.009780939212527873,-0.8648554180935287
4288,1259,0.5148081749769373,0.496,0.8854835571560539,3.076778533508001
4288,2538,-0.029352840508526483,0.52,0.03535628795058621,-0.2071362302761109
4288,2539,-0.04393965996128791,0.489,0.029508984253106108,-0.237683932163565
4288,2541,0.09041512364177343,0.496,0.12621223390009229,0.4540076612944322
4288,2881,-0.09468463203788444,0.526,0.015042786497948324,-0.5030446640832253
4288,3335,-0.3259309288921712,0.474,0.00028087536817789083,-2.2934972015634383
4288,3336,-1.0487632966550249,0.459,1.4899551592506555e-09,-9.384126436223962
4288,3338,0.3191654767537313,0.541,0.548162102616871,2.1467475782828904
4288,4103,0.14550915726452407,0.501,0.20055816959500428,0.70633873372102
4288,4855,-0.11682156556578073,0.473,0.010966898113122125,-0.6820969148947377
4288,36362,-1.1268961086230196,0.402,9.166845060804008e-11,-44.47095015414661
4291,1259,-0.3049810815174876,0.462,0.00042894557524530974,-2.1859206315682655
4291,2541,0.4287010873516907,0.526,0.7663164519197597,2.2776193202594297
4296,2541,-1.2489969675141355,0.434,8.008038676621254e-13,-15.503347665774136
4322,1259,-0.7208751839962616,0.456,7.413975655623517e-09,-5.06235072053246
4322,2538,0.2501666973256207,0.505,0.39718865855629404,1.552664999703137
4322,2541,-0.36646657841889935,0.481,0.00011940757909822963,-1.6247573182243094
4322,3338,0.6237463699363047,0.517,0.9644659074205215,3.6795188898959554
4322,36362,-0.05085789560297153,0.506,0.027030092951486284,-0.4352076834736022
4342,2541,-0.015315972029054648,0.497,0.04184866618816174,-0.08335002943515414
4379,2541,0.045942117288877676,0.491,0.08217498770673792,0.22394090354575175
4395,1259,-1.2485225660630377,0.451,8.164580123093401e-13,-13.413591353499944
4395,2541,-0.556103311264102,0.475,1.15186920657262e-06,-3.0823989498030073
4400,1259,-1.4536346533972628,0.447,1.1102230246251565e-16,-31.36166622297637
4400,2541,-0.3076631174470823,0.486,0.00040660025577932135,-1.6500048139737291
4409,1259,-1.7653296131322413,0.412,0.0,-40.03824357901295
4409,2541,0.020646137447013165,0.506,0.06293593604359238,0.10519146629270408
4417,1259,-1.3692880942971386,0.445,4.773959005888173e-15,-17.548406130064695
4417,2541,0.041864014126382285,0.487,0.07880457785361916,0.1780536659796842
4432,1259,-1.5444356230464056,0.452,0.0,-44.17695097818917
4432,2541,-0.2619153037351097,0.475,0.0009843911234987957,-1.4329510299519193
4440,1259,-0.9879377469942949,0.404,0.0,-22.801196482459517
4440,2541,-0.0649366185840542,0.475,0.02251972458246987,-0.3530667371976927
4506,1259,-1.426436911395512,0.44,3.3306690738754696e-16,-20.186663176236042
4506,2541,-0.48687943414801105,0.464,7.090208259064035e-06,-2.682966326268909
4507,2541,-0.7433559726468563,0.456,2.8802652485282465e-09,-4.633688413182175
4518,2541,-1.101901492583707,0.457,2.2836077473442629e-10,-10.020783963743419
4720,2541,-0.9799321189687944,0.468,0.0,-7.587023059534532
4722,2541,-0.9473125990509527,0.467,0.0,-8.418081335543707
4723,2541,-1.17869966733562,0.487,1.2989276321206944e-11,-11.332553951090471
4725,2541,-1.0156379576854022,0.46,0.0,-8.413157036166421
4738,1259,0.14282494425095332,0.476,0.19641931116454991,1.1323980000722456
4738,2541,-1.081536963947845,0.464,4.734972414155436e-10,-10.279666125948285
4739,1259,0.2804439300321255,0.482,0.46289123938452625,1.9726667358420142
4739,2541,-1.0454327387661224,0.47,1.6709034156292546e-09,-10.15178337120925
4740,1259,0.19649336609762566,0.472,0.2885752443697518,1.4467207171156906
4740,2541,-0.9937428910940717,0.46,0.0,-8.392768304467491
4741,1259,0.09073223947528557,0.478,0.1265762716238913,0.7204295868915042
4741,2541,-1.0405508487120025,0.46,1.975348773441965e-09,-8.71969687378567
4782,1259,-0.7721926722634083,0.455,1.0150856821766752e-09,-4.991855682045801
4782,2541,-1.2333653823258908,0.465,1.5081269566508126e-12,-10.065225567558336
9054,2541,-0.8199110497745048,0.448,0.0,-6.375224722200908
